IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,UTC_OFFSET
BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.49746,-6.0
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963,-5.0
BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.15031,-4.0
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217,-4.0
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585,-7.0
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,-4.0
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301,-6.0
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954,-4.0
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.91631,-81.44247,-4.0
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858,-6.0
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765,-8.0
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.78016,-124.23653,-7.0
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.03527,-85.20379,-4.0
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.13864,-78.45286,-4.0
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051,-4.0
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88459,-91.71087,-5.0
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239,-4.0
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873,-7.0
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494,-4.0
CLL,Easterwood Airport,College Station,TX,USA,30.58859,-96.36382,-5.0
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,-4.0
CMH,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188,-4.0
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.03925,-88.27806,-5.0
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.16842,-88.48906,-4.0
CNY,Canyonlands Field,Moab,UT,USA,38.75496,-109.75484,-6.0
COD,Yellowstone Regional Airport,Cody,WY,USA,44.52019,-109.0238,-6.0
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025,-6.0
COU,Columbia Regional Airport,Columbia,MO,USA,38.81809,-92.21963,-5.0
CPR,Natrona County International Airport,Casper,WY,USA,42.90836,-106.46447,-6.0
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.77036,-97.50122,-5.0
CRW,Yeager Airport,Charleston,WV,USA,38.37315,-81.59319,-4.0
CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.51633,-84.93886,-4.0
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66217,-4.0
CWA,Central Wisconsin Airport,Mosinee,WI,USA,44.77762,-89.66678,-5.0
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.17992,-81.05806,-4.0
DAL,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177,-5.0
DAY,James M. Cox Dayton International Airport,Dayton,OH,USA,39.90238,-84.21938,-4.0
DBQ,Dubuque Regional Airport,Dubuque,IA,USA,42.40296,-90.70917,-5.0
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772,-4.0
DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667,-6.0
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,-5.0
DHN,Dothan Regional Airport,Dothan,AL,USA,31.32134,-85.44963,-5.0
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA,46.79739,-102.80195,-6.0
DLG,Dillingham Airport,Dillingham,AK,USA,59.04541,-158.50334,-8.0
DLH,Duluth International Airport,Duluth,MN,USA,46.84209,-92.19365,-5.0
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.15152,-107.75377,-6.0
DSM,Des Moines International Airport,Des Moines,IA,USA,41.53493,-93.66068,-5.0
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884,-4.0
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA,48.11425,-98.90878,-5.0
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA,44.86526,-91.48507,-5.0
ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA,30.358333,-85.795556,-5.0
EGE,Eagle County Regional Airport,Eagle,CO,USA,39.64257,-106.9177,-6.0
EKO,Elko Regional Airport,Elko,NV,USA,40.82493,-115.7917,-7.0
