IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,UTC_OFFSET
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38437,-5.0
SWF,Stewart International Airport,Newburgh,NY,USA,41.50409,-74.10484,-4.0
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631,-4.0
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033,-4.0
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783,-4.0
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,-4.0
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742,-4.0
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347,-4.0
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,-5.0
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,-7.0
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74144,-85.58224,-4.0
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA,42.4818,-114.48774,-6.0
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45371,-93.99102,-5.0
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239,-5.0
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286,-4.0
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA,29.95925,-81.339722,-4.0
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992,-6.0
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672,-4.0
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254,-5.0
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433,-132.36982,-8.0
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764,-6.0
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681,-5.0
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,-8.0
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597,-7.0
